📺歐飛嗅探,#genre#
 台視,https://www.ofiii.com/channel/watch/4gtv-4gtv066
中視,https://www.ofiii.com/channel/watch/4gtv-4gtv040
華視,https://www.ofiii.com/channel/watch/4gtv-4gtv041
公視金獎,https://www.ofiii.com/channel/watch/ofiii13
ELTV生活英語,https://www.ofiii.com/channel/watch/litv-longturn20
龍華卡通,https://www.ofiii.com/channel/watch/litv-longturn01
哆啦A夢,https://www.ofiii.com/channel/watch/ofiii22
TVBS食尚玩家,https://www.ofiii.com/channel/watch/ofiii31
東森娛樂,https://www.ofiii.com/channel/watch/ofiii32
洲旅遊,https://www.ofiii.com/channel/watch/litv-longturn17
天亞洲精采,https://www.ofiii.com/channel/watch/ofiii36
SMART知識,https://www.ofiii.com/channel/watch/litv-longturn19
龍華戲劇,https://www.ofiii.com/channel/watch/litv-longturn18
台灣戲劇,https://www.ofiii.com/channel/watch/litv-longturn22
東森購物1,https://www.ofiii.com/channel/watch/4gtv-4gtv102
龍華偶像,https://www.ofiii.com/channel/watch/litv-longturn12
龍華日韓,https://www.ofiii.com/channel/watch/litv-longturn11
Yes娛樂,https://www.ofiii.com/channel/watch/ofiii47
Focus風采戲劇,https://www.ofiii.com/channel/watch/ofiii1048
東森購物2,https://www.ofiii.com/channel/watch/4gtv-4gtv103
掏掏新聞,https://www.ofiii.com/channel/watch/ofiii50
華視新聞,https://www.ofiii.com/channel/watch/4gtv-4gtv052
三立新聞iNEWS,https://www.ofiii.com/channel/watch/iNEWS
寰宇財經,https://www.ofiii.com/channel/watch/litv-longturn23
台視新聞,https://www.ofiii.com/channel/watch/4gtv-4gtv051
中視新聞,https://www.ofiii.com/channel/watch/4gtv-4gtv074
中天新聞,https://www.ofiii.com/channel/watch/4gtv-4gtv009
寰宇新聞台灣,https://www.ofiii.com/channel/watch/litv-longturn15
寰宇新聞,https://www.ofiii.com/channel/watch/litv-longturn14
第1財經,https://www.ofiii.com/channel/watch/ofiii64
第1商業,https://www.ofiii.com/channel/watch/4gtv-4gtv104
國會頻道1,https://www.ofiii.com/channel/watch/4gtv-4gtv084
國會頻道1,https://www.ofiii.com/channel/watch/4gtv-4gtv085
龍華經典,https://www.ofiii.com/channel/watch/litv-longturn21
龍華電影,https://www.ofiii.com/channel/watch/litv-longturn03
周星馳電影,https://www.ofiii.com/channel/watch/ofiii73
歐飛電影台,https://www.ofiii.com/channel/watch/ofiii74
歐飛動作電影台,https://www.ofiii.com/channel/watch/ofiii75
Focus探索新知,https://www.ofiii.com/channel/watch/ofiii82
東森購物快閃,https://www.ofiii.com/channel/watch/ofiii87
黃阿瑪的後宮生活,https://www.ofiii.com/channel/watch/ofiii93
八月,https://www.ofiii.com/channel/watch/ofiii94
Freeman@台灣,https://www.ofiii.com/channel/watch/ofiii95
饕客揪愛吃,https://www.ofiii.com/channel/watch/ofiii96
人氣動漫預告,https://www.ofiii.com/channel/watch/ofiii97
銀髮族聚樂部,https://www.ofiii.com/channel/watch/ofiii99
琅琊榜,https://www.ofiii.com/channel/watch/ofiii101
芈月傳,,https://www.ofiii.com/channel/watch/ofiii105
軍師聯盟,https://www.ofiii.com/channel/watch/ofiii106
軍師聯盟2 虎嘯龍吟,https://www.ofiii.com/channel/watch/ofiii107
東宮(完整版),https://www.ofiii.com/channel/watch/ofiii108
錦衣之下,https://www.ofiii.com/channel/watch/ofiii109
楚喬傳,https://www.ofiii.com/channel/watch/ofiii110
倚天屠龍記 2019,https://www.ofiii.com/channel/watch/ofiii111
風起西州,https://www.ofiii.com/channel/watch/ofiii112
三十而已,https://www.ofiii.com/channel/watch/ofiii115
去有風的地方,https://www.ofiii.com/channel/watch/ofiii116
以愛為營,https://www.ofiii.com/channel/watch/ofiii117
向風而行,https://www.ofiii.com/channel/watch/ofiii118
以家人之名,https://www.ofiii.com/channel/watch/ofiii119
我們的翻譯官,https://www.ofiii.com/channel/watch/ofiii120
流光之下,https://www.ofiii.com/channel/watch/ofiii121
鱷魚與牙籤鳥,https://www.ofiii.com/channel/watch/ofiii122
裝腔啟示錄,https://www.ofiii.com/channel/watch/ofiii123
無與倫比的美麗,https://www.ofiii.com/channel/watch/ofiii124
食尚玩家-2天1夜go,https://www.ofiii.com/channel/watch/ofiii128
WTO姐妹會,https://www.ofiii.com/channel/watch/ofiii129
綜藝玩很大,https://www.ofiii.com/channel/watch/ofiii130
全民星攻略,https://www.ofiii.com/channel/watch/ofiii131
台灣1001個故事,https://www.ofiii.com/channel/watch/ofiii132
